City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rokytne,51.2796,27.214,-0.18,97,100,5.51,UA,1704284047
1,bethel,41.3712,-73.414,0.27,83,0,1.54,US,1704283634
2,fiambala,-27.6871,-67.6149,21.68,63,69,3.05,AR,1704284048
3,tiksi,71.6872,128.8694,-36.17,100,89,1.56,RU,1704283347
4,casper,42.8666,-106.3131,-4.04,66,0,4.12,US,1704284049
5,stanley,54.868,-1.6985,6.27,95,75,1.54,GB,1704283629
6,cockburn town,21.4612,-71.1419,24.22,60,90,8.02,TC,1704284049
7,anadyr,64.75,177.4833,-15.72,91,20,5.0,RU,1704283694
8,bredasdorp,-34.5322,20.0403,22.3,74,100,7.56,ZA,1704283514
9,freetown,8.484,-13.2299,28.84,79,75,2.57,SL,1704284050
10,vorgashor,67.5833,63.95,-20.98,98,100,8.15,RU,1704283679
11,punta arenas,-53.15,-70.9167,12.06,58,0,2.57,CL,1704283645
12,hirara,24.8,125.2833,18.0,71,100,12.85,JP,1704283696
13,iskateley,67.6803,53.1512,-12.21,92,100,8.49,RU,1704283685
14,whitehorse,60.7161,-135.0538,-12.72,82,100,0.89,CA,1704283681
15,yellowknife,62.456,-114.3525,-24.77,86,48,3.58,CA,1704283634
16,borogontsy,62.6683,131.1683,-32.65,99,97,1.15,RU,1704284052
17,waitangi,-43.9535,-176.5597,11.57,86,85,2.37,NZ,1704283626
18,grytviken,-54.2811,-36.5092,1.86,66,18,1.4,GS,1704283626
19,aasiaat,68.7098,-52.8699,-13.71,86,100,4.48,GL,1704283634
20,vikhorevka,56.1201,101.1636,-4.31,89,100,5.18,RU,1704283803
21,puerto natales,-51.7236,-72.4875,14.25,44,75,1.54,CL,1704283467
22,richfield,44.8833,-93.283,0.32,82,100,3.6,US,1704283808
23,weno,7.4515,151.8468,25.97,94,100,3.6,FM,1704283739
24,muravlenko,63.7898,74.523,-31.58,99,25,4.55,RU,1704284054
